No,기관명,기관유형,주무부처,설립근거,설립일,설립목적,주요기능 및 역할,기관연혁,경영목표 및 전략,기관장,기관장 임기,기관장 주요경력,도시명,상세주소,홈페이지,사업자번호,상위기관
265,한국여성인권진흥원,기타공공기관,성평등가족부,양성평등기본법 제46조의2(한국여성인권진흥원의 설립 등),20191219,정관 제1조(목적) 이 법인은 「양성평등기본법」 제46조의2에 따라 성폭력·가정폭력·성매매 등을 예방·방지하고 그 피해자를 보호·지원하는 등 우리 사회의 여성인권 향상을 위한 제반 활동을 통해 성평등하고 개인의 존엄과 가치가 보호되는 사회실현에 기여함을 그 목적으로 한다.,○ 여성폭력 피해자 보호·지원시설 종사자의 양성 및 보수교육&cr;○ 여성폭력 피해자 보호·지원시설 간 연계망 구축 및 운영&cr;○ 여성폭력 피해자 보호·지원을 위한 관련 기관 간 협력 사업 개발 및 지원&cr;○ 여성폭력 피해자 보호·지원시설에 대한 평가지원 및 컨설팅&cr;○ 여성폭력 피해자 보호·지원에 관한 종합관리시스템 구축 운영&cr;○ 여성폭력 예방·방지 및 피해자 보호·지원 프로그램 개발과 관련 연구&cr;○ 여성폭력 피해자 지원 및 예방에 대한 인식개선 홍보&cr;○ 「성폭력방지 및 피해자보호 등에 관한 법률」 제7조의3에 따른 불법촬영물등으로 인한 피해자 지원사업&cr;○ 「성폭력방지 및 피해자보호 등에 관한 법률」 제7조의4에 따른 중앙디지털성범죄피해자지원센터등의 설치 운영&cr;○ 일본군'위안부'피해자 지원사업  관련 조사 연구  교육 홍보  국내외 교류 등&cr;○ 「인신매매등방지 및 피해자보호 등에 관한 법률」 제15조에 따른 중앙인신매매등피해자권익보호기관 운영&cr;○ 그 밖에 한국여성인권진흥원의 목적을 수행하기 위하여 필요한 사업,○ 2009. 4. 재단법인 한국여성인권진흥원 설립&cr;○ 2014. 1. 기타공공기관 지정&cr;○ 2018.12. 특수법인 설립 법적근거(양성평등기본법 제46조의2) 제정·공포&cr;○ 2019.12. 특수법인 한국여성인권진흥원 설립,○ 미션: 여성폭력 없는 실질적 성평등 사회 실현&cr;○ 비전: 여성폭력 피해자 지원 및 인권 향상 중추기관&cr;○ 핵심가치: 혁신  책임  상생  소통&cr;○ 전략목표&cr;- 통합지원체계 선도&cr;- 디지털성범죄 대응 강화&cr;- 전시 성폭력 역사 인식 제고&cr;- 지속가능한 경영혁신,신보라,20230330-20260329,○ 제20대 국회의원  여성가족위원회 위원&cr;○ 자유한국당 최고위원회 청년최고위원,서울특별시,서울특별시 중구 서소문로50(중림동  CENTRAL PLACE) 3층,https://www.stop.or.kr,101-82-17998,-
266,한국여성정책연구원,기타공공기관,국무조정실,정부출연연구기관 등의 설립ㆍ운영 및 육성에 관한 법률,19830421,성평등 사회 구현을 위한 국가의 성평등 정책 수립과 국민 행복의 향상에 이바지함,○ 정치·경제·사회·문화 등 모든 영역의 성평등 실현을 위한 연구 및 관련 사업&cr;○ 여성폭력 방지와 여성 인권보장 연구 및 관련 사업&cr;○ 가족·돌봄 연구 및 관련 사업&cr;○ 여성의 경제적 역량강화와 의사결정 권한 확대 연구 및 관련 사업 &cr;○ 법·제도·정책·예산에 대한 성인지적 평가·분석&cr;○ 성평등 관련 정보·자료와 성인지 통계의 생산 ·보급을 위한 인프라 구축,○ 1982.12.31 한국여성개발원법(법률 제3632호) 제정 공포&cr;○ 1983.04.21 한국여성개발원 개원&cr;○ 1999.01.29「정부출연연구기관등의설립ㆍ운영및육성에관한법률」(법률573 3호) 공포ㆍ시행으로 국무총리산하 인문사회연구회로 소관 변경&cr;○ 2005.07.01 경제ㆍ인문사회연구회로 소관 변경&cr;○ 2007.05.11「정부출연연구기관등의설립ㆍ운영및육성에관한법률」(법률843 2호) 에 의거 '한국여성개발원'에서 '한국여성정책연구원'으로 기관 명칭 변경,경영목표&cr;1. 국가현안 및 국정과제 지원 강화&cr;2. 국민이 공감하는 양성평등정책 선도&cr;3. 연구관리 시스템 개선 및 경영혁신&cr;&cr;전략&cr;1-1. 지속가능한 사회를 위한 가족 및 저출생 대응 전략연구 강화&cr;1-2. 경제 역동성과 성장잠재력 제고를 위한 양성평등 일자리 구현&cr;1-3. 안전한 사회 구현을 위한 젠더폭력방지 정책의 체감도 제고&cr;2-1. 국가정책의 양성평등 효과 향상&cr;2-2. 분야별 양성평등정책 연구 확산&cr;2-3. 글로벌 중추국가 도약을 위한 양성평등 의제 선도&cr;3-1. 성과지향적 연구기획 및 관리과정 구축&cr;3-2. 지속가능한 경영환경 조성,김종숙,20240125-20270124,2002.3.~2024.1. 한국여성정책연구원 연구위원  선임연구위원&cr;2021.3.~2022.2. 한국여성경제학회 회장&cr;2016.1.~2017.3. 대통령비서실 여성가족비서관,서울특별시,서울특별시 은평구 진흥로 225(불광동),www.kwdi.re.kr,111-82-03166,-
267,한국연구재단,준정부기관(위탁집행형),과학기술정보통신부,한국연구재단법,20090626, 학술 및 연구개발 활동과 관련 인력의 양성 및 활용을 보다 효율적이고 공정하게 수행함으로써 국가의 학술 및 과학기술 진흥과 연구역량 제고에 기여, 1. 학술 및 연구개발 활동의 지원&cr;&cr;2. 학술 및 연구개발 인력의 양성과 활용의 지원&cr;&cr;3. 학술 및 연구개발 활동의 국제협력 촉진 지원&cr;&cr;4. 학술 및 연구개발 사업 수행에 필요한 자료 및 정보의 조사ㆍ수집ㆍ분석ㆍ평가ㆍ 관리ㆍ활용과 정책개발 지원&cr;&cr;5. 학술 및 연구개발 관련 기관ㆍ단체의 연구ㆍ운영 지원&cr;&cr;6. 국내외 학술 및 연구개발 관련 기관ㆍ단체 간의 교류협력 지원&cr;&cr;7. 기타 학술 및 연구개발에 필요한 사항,&cr;ㅇ 2009.3.25. 한국연구재단법 제정(법률 제9518호)&cr;ㅇ 2009.3.30. 한국연구재단 설립위원회 구성&cr;ㅇ 2009.5.12. 한국연구재단 정관의결&cr;ㅇ 2009.6.1. 초대 이사장 내정&cr;ㅇ 2009.6.26. 한국연구재단 출범 및 제1대 이사장 박찬모 취임&cr;ㅇ 2009.7.28. 한국연구재단 창립 이사회 개최&cr;ㅇ 2011.1.20. 제2대 이사장 오세정 취임&cr;ㅇ 2012.1.6. 제3대 이사장 이승종 취임&cr;ㅇ 2014.1.3. 제4대 이사장 정민근 취임&cr;ㅇ 2016.8.23. 제5대 이사장 조무제 취임&cr;ㅇ 2018.7.9. 제6대 이사장 노정혜 취임&cr;ㅇ 2021.9.27. 제7대 이사장 이광복 취임&cr;ㅇ 2024.12.9. 제8대 이사장 홍원화 취임&cr;, ㅁ 미션: 창의적 연구와 미래인재 양성으로 지식ㆍ가치 창출과 인류 사회 발전에 기여&cr;&cr;ㅁ 비전: 학술ㆍ연구의 생태계 혁신을 이끄는 글로벌 리더&cr;&cr;ㅁ 중장기 경영목표(2026~2030): 4대 핵심가치  4대 전략목표&cr;ㅇ 4대 핵심가치&cr;  - 창의(Creativity)&cr;  - 개방(Openness)&cr;  - 책무(Responsibility)&cr;  - 탁월(Excellence)&cr;&cr;ㅇ 4대 전략목표&cr;  - 과학기술 강국 실현 연구개발 패러다임 확립&cr;  - 대학·지역 혁신 기반 미래인재 양성&cr;  - 학술·연구 가치 국민공감 플랫폼 구축&cr;  - ESG 혁신경영 강화,홍원화,20241209-20271208,&cr;- 경북대학교 총장&cr;- 국가균형발전위원회 위원&cr;- 한국대학교육협의회 회장&cr;,대전광역시,대전광역시 유성구 가정로 201(가정동), www.nrf.re.kr,314-82-13322,-
268,한국영상자료원,기타공공기관,문화체육관광부,영화 및 비디오물의 진흥에 관한 법률 제34조,19740118,영화 및 비디오물과 그 관계 문헌ㆍ음향자료 등 영상자료의 수집ㆍ보존ㆍ전시와 영화 및 비디오물의 예술적ㆍ역사적ㆍ교육적인 발전,ㅇ 영화필름 등의 제출을 통한 수집 및 보상(영화 및 비디오물의 진흥에 관한 법률 제 35조)&cr;ㅇ 국내외 영화 및 비디오물과 문헌ㆍ음향자료 등 수집 및 보존ㆍ복원&cr;ㅇ 영화 및 비디오물과 그 관계 문헌ㆍ음향자료 등의 활용 및 전시&cr;ㅇ 영상정보화 및 콘텐츠 활용 사업&cr;ㅇ 영상예술의 향상을 위한 학술연구  간행물의 발간 및 교육사업&cr;ㅇ 영상예술의 국내외 교류 및 시네마테크 활동,ㅇ 1974.01: 재단법인 한국필름보관소 설립&cr;ㅇ 1985.04: 국제영상자료원연맹(FIAF) 정회원 가입&cr;ㅇ 1991.09: 재단법인 한국영상자료원으로 명칭 변경&cr;ㅇ 1994.01: 영상자료 보존사업에 대한 국고보조 시작&cr;ㅇ 1996.07: 영화필름 등의 의무제출제도 시행&cr;ㅇ 2002.04: 제58차 국제영상자료원연맹(FIAF) 서울총회 개최&cr;ㅇ 2002.06: 특수법인 한국영상자료원 설립(영화진흥법 제24조의3)&cr;ㅇ 2006.10: 「영화진흥법」폐지 「영화 및 비디오물의 진흥에 관한 법률」제정&cr;ㅇ 2007.05: 종합영상아카이브센터(서울특별시 마포구 월드컵북로)로 이전&cr;ㅇ 2008.05: 시네마테크KOFA  한국영화박물관 개관&cr;ㅇ 2016.05: 파주보존센터 개관&cr;ㅇ 2018.04: SEAPAVAA(동남아시아태평양시청각아카이브협회) 정회원 가입 비준,ㅇ 미션: 영상자료의 수집ㆍ보존ㆍ활용으로 한국영화의 예술적ㆍ역사적ㆍ교육적 발전에 기여한다.&cr;ㅇ 핵심가치: 미래를 위한 전문성  모두를 위한 개방  변화를 위한 소통&cr;ㅇ 비전: 과거와 미래를 잇는 글로벌 K-콘텐츠 플랫폼&cr;ㅇ 전략목표&cr;- 영상유산 관리활용 고도화&cr;- 영상유산 미래신성장 동력확보&cr;- KOFA형 경영혁신 기반 마련&cr;ㅇ 전략과제&cr;- 영상유산 수집 강화&cr;- 영상유산 보존안정성 강화&cr;- 영상유산 컬렉션 구축&cr;- 영상유산 대국민 향유 및 글로벌 확산&cr;- AX기반 디지털 운영체계 구축&cr;- 영상유산 디지털화&cr;- 미디어 융합시대  영상유산 수집범위 확대&cr;- 국립영상박물관 건립&cr;- ESG 중심 책임경영 실현&cr;- 경영효율화 기반 혁신경영 실현&cr;- 효율성 및 성과중심 조직역량 강화&cr;- KOFA 브랜드 가치 및 서비스 품질 제고,모은영,20260309-20290308,전) 서울독립영화제 집행위원장&cr;전) 부천국제판타스틱영화제 프로그래머&cr;전) 한국영상자료원 시네마테크부 팀장&cr;전) 서울인디애니페스트 프로그래머·집행위원&cr;전) 서울국제환경영화제 프로그래머,서울특별시,서울특별시 마포구 월드컵북로 400,www.koreafilm.or.kr,214-82-07248,-
269,한국예술인복지재단,기타공공기관,문화체육관광부, 예술인복지법 제8조(한국예술인복지재단의 설립 등),20121119,예술인의 복지에 대한 체계적이고 종합적인 지원을 함으로써 예술인들의 창작활동을증진하고 예술발전에 기여,1. 예술인의 사회보장 확대 지원&cr;2. 예술인의 직업안정ㆍ고용창출 및 직업전환 지원&cr;3. 원로 예술인의 생활안정 지원 등 취약예술계층의 복지 지원&cr;3의2. 「장애예술인 문화예술 활동 지원에 관한 법률」 제3조제1호에 따른 장애예술인의 문화예술 활동을 위한 복지 지원&cr;4. 개인 창작예술인의 복지 증진 지원&cr;4의2. 예술인의 자녀 돌봄 지원&cr;5. 예술인의 복지실태 및 근로실태의 조사ㆍ연구&cr;6. 예술인 복지금고의 관리ㆍ운용 및 예술인의 생활안정을 위한 자금의 융자&cr;7. 예술인 공제사업의 관리ㆍ운영&cr;8. 「예술인의 지위와 권리의 보장에 관한 법률」 제2조제10호 각 목에 따른 예술인권리침해행위로 인한 피해 상담 및 법률적 지원&cr;9. 예술인의 권익보호를 위한 교육 프로그램 운영&cr;10. 예술계 성희롱ㆍ성폭력 예방교육 및 피해 구제 지원&cr;11. 정부로부터 위탁받은 사업&cr;12. 그 밖에 예술인의 복지 증진을 위하여 대통령령으로 정하는 사업, 2012.11.19 한국예술인복지재단 설립&cr;1대 이사장 김주영 취임&cr;1대 상임이사 심재찬 취임&cr;2013.09.30 예술인복지지원센터 개소&cr;2014.02.24 예술인 경력정보시스템 서비스 개시&cr;2014.04.15 반디 돌봄센터(예술인자녀돌봄지원) 개소&cr;2014.05.14 문화예술용역 관련 금지행위 심사지침 제정 시행&cr;2014.10.22 2대 상임이사 박계배 취임&cr;2015.01.29 기타 공공기관 지정 (공공기관 운영에 관한 법률 제4조)&cr;2015.05.28 예술활동증명 운영지침 개정&cr;2016.02.03 예술인 복지법 일부개정(5.4시행)&cr;2016.02.15 제2대 이사장 이문열 취임&cr;2016.11.25 공공주택 특별법 시행규칙 일부개정으로 행복주택 입주자 자격 예술인으로 확대 (12.30 시행)&cr;2017.03.14 예술인자녀돌봄센터(예술인자녀돌봄지원) 개소&cr;2017.03.16 예술활동증명 운영지침 개정&cr;2017.12.28 불공정행위신고상담센터 개소&cr;2018.02.23 제3대 상임이사 정희섭 취임&cr;2018.06.20 예술인 성폭력 피해 신고상담센터 개소&cr;2018.06.27 제3대 이사장 윤영달 취임&cr;2018.10.24 예술인복지금고 설립추진위원회출범&cr;2019.02.01 한국예술인복지재단 직제 개편&cr;2019.06.24 예술인 생활안정자금(융자) 시범사업 시작&cr;2020.05.27 서면계약 위반 신고·상담창구 개설&cr;2020.05.29 한국예술인복지재단 직제 개편&cr;2020.12.10 예술인 고용보험 시행&cr;2021.04.01 제4대 상임이사 박영정 취임&cr;2022.02.15 제4대 이사장 김영철 취임&cr;2023.01.02 직제개편(1본부 2부 8팀 -> 2본부 8팀)&cr;2023.09.07. 예술인 테마형 임대주택사업  한국문화예술위원회로부터 이관&cr;2025.04.11. 제5대 이사장 이종열 취임&cr;2025.04.28. 제5대 대표이사 정용욱 취임,ㅇ 경영목표&cr;- 예술인의 권리 보호 및 복지 지원으로 예술 발전에 이바지&cr;&cr;ㅇ 전략목표&cr;- 예술활동 기반 복지지원 강화&cr;- 선제적 예술인지위보장체계 확립&cr;- 함께하는 예술사회 조성&cr;- 지속가능한 경영인프라 구축&cr;&cr;ㅇ 전략과제&cr;- 지속가능한 예술활동 기반 강화&cr;- 예술인 맞춤형 성장기회 확대&cr;- 공정한 예술활동 환경 조성&cr;- 예술인 사회보장 안전망 강화 선도&cr;- 협력 기반 예술인 복지 거버넌스 구현&cr;- 예술인 복지정책 연구 강화&cr;- ESG·사회적 책임경영 실천&cr;- 효율·성과 중심의 조직역량 강화,정용욱,20250428-20280427,ㆍ문화체육관광부 종무실장&cr;ㆍ대통령비서실 국민제안비서관&cr;ㆍ국무총리비서실 민정민원비서관&cr;ㆍ국무조정실 안전환경정책관,서울특별시,서울특별시 중구 한강대로 416 서울스퀘어 3층, http://www.kawf.kr,101-82-22303,-
270,한국원산지정보원,기타공공기관,관세청,관세법 제233조의2(한국원산지정보원의 설립),20230703, 「관세법」  「FTA관세법」 및 조약ㆍ협정 등에 따라 수출입물품의 원산지정보 수집ㆍ분석과 활용 및 검증 지원 등에 필요한 업무를 효율적으로 수행하여 국민경제 발전에 기여, ㅇ 자유무역협정과 원산지 관련 제도ㆍ정책ㆍ활용 등에 관한 정보의 수집ㆍ분석ㆍ제공&cr;ㅇ 수출입물품의 원산지정보 관리를 위한 시스템의 구축 및 운영에 관한 사항&cr;ㅇ 원산지인증수출자 인증  원산지검증 등의 지원에 관한 사항&cr;ㅇ 자유무역협정 및 원산지 관련 교육·전문인력양성에 필요한 사업&cr;ㅇ 정부  지방자치단체  공공기관 등으로부터 위탁받은 사업&cr;ㅇ 그 밖에 위 사업에 따른 부대사업 및 정보원의 설립목적을 달성하는데 필요한 사업, ㅇ 2009. 2. 「한국원산지정보원」 개원(한국관세사회 부설)&cr;ㅇ 2010. 1. 재단법인 「국제원산지정보원」 출범&cr;ㅇ 2010. 6. 원산지관리사 자격시험 시행기관 지정(관세청)&cr;ㅇ 2015. 1. 기타공공기관 지정&cr;ㅇ 2022. 12. 「한국원산지정보원」 설립 관세법 개정안 국회 통과&cr;ㅇ 2023. 7. 특수법인 「한국원산지정보원」 출범, ㅇ 미션 : 국민이 신뢰하는 원산지 정보ㆍ서비스 제공으로 기업경쟁력 강화와 국민 경제 발전에 기여&cr;ㅇ 비전 : 원산지 정보로부터 미래 가치를 창출하는 FTAㆍ원산지 전문기관&cr;ㅇ 목표&cr;- FTAㆍ원산지 정책집행의 효율성 제고&cr;- 수출입기업 FTAㆍ원산지 관리 종합지원체계 구축&cr;- 국민이 안심하는 원산지 관리 환경 조성&cr;- ESG 기반 지속가능 경영체계 구축,김일권,20231201-20261130,국회 기획재정위원회 수석전문위원&cr;국회 행정안전위원회 수석전문위원&cr;국회 예산정책처 예산분석실 실장,경기도,경기도 성남시 분당구 야탑로 208번길 8 (야탑동),www.origin.or.kr,211-82-16919,-
271,한국원자력안전기술원,기타공공기관,원자력안전위원회, 한국원자력안전기술원법,19900214,원자력의 생산 및 이용에 대한 방사선 재해로부터 국민을 보호하고  공공의 안전과 환경보전을 위해 설립,1.「원자력안전법」 제111조제1항 및 「원자력시설 등의 방호 및 방사능 방재 대책법」제45조제1항에 따라 위탁받은 업무&cr;2. 원자력안전규제에 관한 연구ㆍ개발&cr;3. 원자력안전규제에 관한 정책 및 제도개발을 위한 기술 지원&cr;4. 방사선방호에 관한 기술 지원&cr;5. 원자력안전규제에 관한 정보 관리&cr;6. 환경방사능에 관한 조사 및 평가&cr;7. 원자력안전규제에 관한 교육&cr;8. 원자력안전규제에 관한 국제협력 지원&cr;9. 제1호부터 제8호까지에 딸린 사업으로서 원자력안전위원회가 필요하다고 인정하는 사업,1990.2 한국원자력안전기술원 설립(법률 제4195호)&cr;2007.4 위탁집행형 준정부기관 지정&cr;2008.1 국제원자력안전학교 설치(IAEA 협력센터)&cr;2019.2 기타공공기관 중 연구개발목적기관 지정(공공기관 유형변경),&cr;[경영목표] 안전규제 패러다임 변화에 적합한 지속가능 경영체계 구축&cr;[연구목표] 현안을 해결하고 미래를 준비하는 안전규제 혁신으로 국민 안심 제고&cr;  &cr;[4대 전략목표]&cr;Ⅰ. 원자력시설 안전성 철저 확인 및 안전규제체계 강화&cr;Ⅱ. 방사선 안전관리 철저 및 규제 기반 고도화&cr;Ⅲ. 목표지향적 안전규제 기술 개발 및 인프라 구축&cr;Ⅳ. 지속가능 경영체계 구축&cr;  &cr;[11대 전략과제]&cr;Ⅰ-1. 가동 원자력 시설의 체계적 안전성 확인 및 개선&cr;Ⅰ-2. 건설 및 계속운전 원전에 대한 체계적 안전성 확인&cr;Ⅰ-3. 소형원자로 안전성 확인을 위한 안전규제 기반 구축 및 이행&cr;Ⅰ-4. 핵연료 전주기 종합안전성 기반 확보 및 중ㆍ저준위 방사성폐기물ㆍ해체 안전성 확인&cr;Ⅱ-1. 방사선 이용 분야 안전관리 철저 및 기반 정비 &cr;Ⅱ-2. 방사능방재 및 환경감시 역량 강화&cr;Ⅱ-3. 생활주변방사선 안전관리 강화&cr;Ⅲ-1. 현안 및 미래 수요 대비 선진적 안전규제 연구개발 및 인프라 강화&cr;Ⅲ-2. 선제적 미래 대응을 위한 안전역량 확보&cr;Ⅳ-1. 지속가능성 제고를 위한 경영시스템 고도화&cr;Ⅳ-2. 업무몰입환경 조성 및 투명한 기관운영체계 마련&cr;,임승철,20250414-20280413,원자력안전위원회 상임위원 겸 사무처장&cr;국립중앙과학관 전시연구단장&cr;주오스트리아 대한민국대사관 겸 주빈국제기구대표부 공사,대전광역시,대전광역시 유성구 과학로 62,www.kins.re.kr,314-82-01883,-
272,한국원자력안전재단,기타공공기관,원자력안전위원회,원자력안전법 제7조의2(한국원자력안전재단의 설립),20121106,원자력과 방사선 안전에 관한 정책과 제도 개발을 지원하고 관련 연구사업 및 국제협력을 기획  관리하여 원자력·방사선 안전기반 조성에 이바지함을 목적으로 함,○ 대국민 소통 활성화를 위한 원자력 안전규제 정책수요 및 기초자료 조사분석&cr;○ 원자력ㆍ방사선 안전규제 대학 강의 개설 지원 및 사전실습 교육기회 제공&cr;○ 규제역량 강화를 위한 원자력안전 R&D 기획ㆍ평가ㆍ관리&cr;○ 원자력 안전 실태조사 및 국제협력 지원&cr;○ 종사자의 방사선안전관리 강화를 위한 방호기록정보 분석&cr;○ 방사성동위원소 등의 수출입 유통 안전관리&cr;○ 방사선 장해 예방을 위한 방사선작업종사자 교육ㆍ훈련&cr;○ 원전 성능검증 안전ㆍ신뢰성 향상을 위한 성능검증기관 인증 및 관리&cr;○ 원자력기금(원자력안전규제계정) 관리ㆍ운용,○ 2012.11. 재단법인 한국방사선안전재단 설립&cr;○ 2015.01. 기획재정부로부터 기타 공공기관 지정&cr;○ 2015.11. 한국원자력안전재단으로 명칭 변경&cr;○ 2015.12. 「원자력안전법」에 한국원자력안전재단 설립근거 마련&cr;○ 2016.03. 한국원자력안전재단 법적 근거 마련(개정 원자력안전법 시행),○ 미래대비 정책 플랫폼 구축&cr;- 원자력안전 정책지원 싱크탱크 기능강화&cr;- 안전규제 R&D 관리 역량ㆍ규제 활용성 제고&cr;- 원자력기금 관리ㆍ운용 체계 강화&cr;○ 수요자 중심 안전문화 확산&cr;- 현장기반 방사선안전관리 서비스 확대&cr;- 성능검증기관 관리 전문성 강화&cr;- 교육운영체계 혁신 및 참여형 교육 실현&cr;○ 지속가능한 경영혁신&cr;- ESG 기반 책임경영 내재화&cr;- 소통ㆍ개방형 고객서비스 강화&cr;- 직무중심 경영혁신 및 조직역량 강화,김제남,20220210-20250209,○ 녹색연합 사무처장&cr;○ 제19대 국회의원&cr;○ 청와대 기후환경비서관&cr;○ 청와대 시민사회수석비서관,경기도,경기도 성남시 분당구 대왕판교로644번길 49(삼평동) 1관 8층,www.kofons.or.kr,120-82-10910,-
273,한국원자력의학원,기타공공기관,과학기술정보통신부,방사선 및 방사성동위원소이용 진흥법 제13조의 2,19631217,방사선 등의 의학적 이용 및 연구개발 업무와 암 진료  원자력시설 등의 방호 및 방사능방재대책법에 따른 국가적인 방사선비상진료 등의 업무를 수행하는 특정연구기관으로서 국가과학기술 및 국민건강증진에 이바지 함 ,ㅇ방사선 등의 의학적 이용에 관한 사업&cr;ㅇ방사선의학에 관한 연구 및 기술개발&cr;ㅇ방사선 의학에 관한 정책연구 &cr;ㅇ방사성동위원소의 생산·분배 및 연구&cr;ㅇ국가방사선 비상진료·교육 및 연구개발&cr;ㅇ방사선 등의 의학적 이용에 관한 사업  국가방사선 비상진료·교육 및 연구개발 사업의 성과보급&cr;ㅇ방사선 의학 연구분야의 전문인력 양성&cr;ㅇ방사선 의학 연구개발 등의 국내외 협력&cr;ㅇ원자력시설 주변기역의 의료지원사업&cr;ㅇ정부에서 위탁받은 사업&cr;ㅇ방사성동위원소 이용 신약개발 지원사업&cr;ㅇ암병원 등 의학원의 목적 달성을 위하여 필요한 사업 ,ㅇ1963.12.17. 방사선의학 연구소 개소&cr;ㅇ1973.02.17 한국원자력연구소 부속 원자력병원으로 개편&cr;ㅇ1984.10.22 신축 원자력병원 이전 개원&cr;ㅇ1988.01.01 한국원자력연구소 부설기관으로 기구 조정&cr;ㅇ2002.06.04 국가방사선비상진료센터 설치&cr;ㅇ2002.09.04 원자력의학원 체제 출범&cr;ㅇ2006.03.22 동남권원자력의학원 기공식&cr;ㅇ2007.03.27 한국원자력의학원 체제 출범&cr;ㅇ2014.03.01 신개념치료기술개발플랫폼구축사업단 출범&cr;ㅇ2019.08.08 국가RI신약센터 개소식&cr;ㅇ2020.01.01 국가RI신약센터 운영 &cr;ㅇ2023.11.08 개원 60주년 기념행사 개최 ,ㅇ첨단 의생명 연구를 선도하는 과학기술특성화병원을 기반으로 국민건강과 국민안전에 기여&cr; - 국내 최초 과학기술특성화병원 정립&cr; - 첨단 방사선의료 연구·산업화 선도&cr; - 전사적 방사능 재난대응 역량 강화&cr; - 대국민 방사선 건강·상담 서비스 강화 ,이진경,20230419-20260418,ㅇ 한국원자력의학원 전략기획실장&cr;ㅇ 한국원자력의학원 원자력병원 진단검사의학과 과장&cr;ㅇ UNSCEAR 부의장,서울특별시,서울특별시 노원구 노원로 75,www.kirams.re.kr,217-82-04745,-
274,한국원자력통제기술원,기타공공기관,원자력안전위원회,원자력안전법 제6조(한국원자력통제기술원의 설립),20060630,원자력 활동의 투명성과 신뢰성을 높임으로써 원자력의 평화적 이용에 기여,&cr;1. 「원자력안전법」 제111조제1항에 따라 위원회로부터 위탁받은 원자력 관련 시설ㆍ장비ㆍ기술ㆍ연구개발활동 및 핵물질에 관한 안전조치 관련 업무&cr;2. 「원자력안전법」 제111조제1항에 따라 위원회로부터 위탁받은 핵물질 등 국제규제물자에 관한 수출입통제 관련 업무&cr;3. 「원자력시설 등의 방호 및 방사능 방재 대책법」 제45조제1항에 따라 위원회로부터 위탁받은 물리적방호 관련 업무&cr;4. 원자력통제에 관한 연구 및 기술개발&cr;5. 원자력통제에 관한 국제협력 지원&cr;6. 원자력통제에 관한 교육&cr;7. 그 밖에 원자력통제 업무의 수행을 위하여 필요한 사항&cr;,― 2006. 06.  원자력법 개정 시행에 따라 한국원자력통제기술원 출범&cr;― 2007. 04.  한국원자력통제기술원 기타공공기관 지정&cr;― 2011. 09.  방호종사자 법정교육 국내 교육기관 지정&cr;― 2014. 02.  한국원자력통제기술원 국제핵안보교육훈련센터(INSA) 개소&cr;― 2015. 04.  사이버보안 규제지원 전문기관으로 지정&cr;― 2019. 01.  한국원자력통제기술원 기타공공기관 연구개발목적기관 지정&cr;― 2020. 02.  사이버보안 연구동 증축&cr;― 2021. 12.  본원 이전(화암청사 → 사이버보안 연구동),&cr;― 핵심미션: 원자력의 평화적 이용을 보장하여 안으로는 국민의 행복을 밖으로는 인류평화에 기여&cr;― 비전: 글로벌 최고 수준의 핵비확산ㆍ핵안보 규제ㆍ연구 전문기관&cr;― 경영목표: 국민이 신뢰하는 핵비확산ㆍ핵안보 이행 기반 고도화&cr;― 중장기연구목표: 현장 중심의 선제적 원자력통제 이행으로 국민안심과 신뢰 제고&cr;― 전략목표&cr;  ·원자력통제 이행과 체계의 완결성 제고&cr;  ·원자력공급국으로서의 책임감 있는 의무 이행&cr;  ·국가 위상에 부합하는 통제기술 및 정책 역량 확보&cr;  ·국민과 직원이 신뢰하는 책임있는 경영 혁신&cr;,이나영,20230911-20260910,― 한국원자력통제기술원 핵비확산본부장(2021.9 ~ 2023.9)&cr;― 한국원자력통제기술원 핵안보본부장(2020.4 ~ 2021.8)&cr;― 서울대 원자핵공학과 연구교수(2002.11 ~ 2006.12),대전광역시,대전광역시 유성구 유성대로 1418(방현동),https://www.kinac.re.kr,314-82-11120,-
