no,name,category
293,한국임업진흥원,공공기관
294,한국자산관리공사,공공기관
295,한국잡월드,공공기관
296,한국장애인개발원,공공기관
297,한국장애인고용공단,공공기관
298,한국장학재단,공공기관
299,한국재정정보원,공공기관
300,한국저작권보호원,공공기관
301,한국저작권위원회,공공기관
302,한국전기안전공사,공공기관
303,한국전력거래소,공공기관
304,한국전력공사,공공기관
305,한국전력국제원자력대학원대학교,공공기관
306,한국전력기술주식회사,공공기관
307,한국제품안전관리원,공공기관
308,한국조세재정연구원,공공기관
309,한국조폐공사,공공기관
310,한국주택금융공사,공공기관
311,한국중부발전(주),공공기관
312,한국중소벤처기업유통원,공공기관
313,한국지능정보사회진흥원,공공기관
314,한국지식재산보호원,공공기관
315,한국지식재산연구원,공공기관
316,한국지역난방공사,공공기관
317,한국직업능력연구원,공공기관
318,한국철도공사,공공기관
319,한국청소년상담복지개발원,공공기관
320,한국청소년정책연구원,공공기관
321,한국청소년활동진흥원,공공기관
322,한국체육산업개발(주),공공기관 / 공공기관 자회사
323,한국출판문화산업진흥원,공공기관
324,한국치산기술협회,공공기관
325,한국콘텐츠진흥원,공공기관
326,한국탄소산업진흥원,공공기관
327,한국토지주택공사,공공기관
328,한국투자공사,공공기관
329,한국특허기술진흥원,공공기관
330,한국특허전략개발원,공공기관
331,한국특허정보원,공공기관
332,한국학중앙연구원,공공기관
333,한국한의약진흥원,공공기관
334,한국항로표지기술원,공공기관
335,한국해양과학기술원,공공기관
336,한국해양교통안전공단,공공기관
337,한국해양수산개발원,공공기관
338,한국해양수산연수원,공공기관
339,한국해양조사협회,공공기관
340,한국해양진흥공사,공공기관
341,한국해외인프라도시개발지원공사,공공기관
342,한국행정연구원,공공기관
343,한국형사·법무정책연구원,공공기관
344,한국환경공단,공공기관
345,한국환경보전원,공공기관
346,한국환경산업기술원,공공기관
347,한국환경연구원,공공기관
348,한식진흥원,공공기관
349,한전KDN,공공기관
350,한전KPS(주),공공기관
351,한전MCS(주),공공기관
352,한전원자력연료주식회사,공공기관
353,항공안전기술원,공공기관
354,해양수산과학기술진흥원,공공기관
355,해양환경공단,공공기관
356,(유)훗고르샤나가,공공기관 자회사
357,(주)8푸드,공공기관 자회사
358,(주)국민행복기금,공공기관 자회사
359,(주)금양스텐,공공기관 자회사
360,(주)기보메이트,공공기관 자회사
361,(주)기원무역,공공기관 자회사
362,(주)대오,공공기관 자회사
363,(주)더마로닉,공공기관 자회사
364,(주)데코데코,공공기관 자회사
